ANOENC,NUMERO,CODIGO,CODIGO 4D,GASTO,CCAA,CAPROV,TAMAMU,TAMANO,TIPHOGAR1,TIPHOGAR7,INTERIN
2023,19032,9322,932,8793.95,Andalucía,No,Municipio con 50.000 o más y menos 100.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 3000 a menos de 5000 €
2023,10,9322,932,8803.5,Galicia,No,Municipio con menos de 10.000 habitantes,Cinco personas,Otros Hogares,Otros tipos de hogares,De 3000 a menos de 5000 €
2023,8896,9322,932,8833.67,Castilla - La Mancha,Sí,Municipio de 100.000 habitantes o más,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 1500 a menos de 2000 €
2023,12019,9322,932,8842.6,Extremadura,No,Municipio con menos de 10.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 5000 a menos de 7000 €
2023,12129,9321,932,8852.45,Andalucía,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Dos personas,Pareja sin hijos teniendo al menos uno de los miembros 65 años o más,Pareja sin hijos,De 1000 a menos de 1500 €
2023,197,9322,932,8859.06,Aragón,Sí,Municipio con 20.000 o más y menos de 50.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,1547,9322,932,8866.42,"Balears, Illes",No,Municipio con 20.000 o más y menos de 50.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 2000 a menos de 2500 €
2023,16488,9322,932,8878.8,Castilla - La Mancha,No,Municipio con menos de 10.000 habitantes,Tres personas,Otros Hogares,Otros tipos de hogares,De 3000 a menos de 5000 €
2023,3565,9322,932,8894.62,"Asturias, Principado de",No,Municipio de 100.000 habitantes o más,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,16664,9322,932,8908.43,Aragón,No,Municipio con menos de 10.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 2500 a menos de 3000 €
2023,14840,9322,932,8910.8,Galicia,Sí,Municipio con 50.000 o más y menos 100.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 3000 a menos de 5000 €
2023,13943,9321,932,8930.66,Cataluña,No,Municipio con 50.000 o más y menos 100.000 habitantes,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 2500 a menos de 3000 €
2023,12641,9322,932,8941.37,"Balears, Illes",No,Municipio con 20.000 o más y menos de 50.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 1000 a menos de 1500 €
2023,157,9450,945,8950.75,Castilla y León,Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,10764,9450,945,8959.06,Andalucía,No,Municipio con 50.000 o más y menos 100.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,197,9450,945,8965.44,Aragón,Sí,Municipio con 20.000 o más y menos de 50.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,8417,9322,932,9000.51,"Madrid, Comunidad de",No,Municipio de 100.000 habitantes o más,Dos personas,Un adulto con niños menores de 16 años,Un adulto con hijos,De 2000 a menos de 2500 €
2023,12218,9322,932,9005.31,Castilla y León,Sí,Municipio de 100.000 habitantes o más,Cinco personas,Pareja con tres o más hijos menores de 16 años,Pareja con tres o mas hijos,De 5000 a menos de 7000 €
2023,12671,9450,945,9027.95,Extremadura,No,Municipio con 10.000 o más y menos de 20.000 habitantes,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 1500 a menos de 2000 €
2023,12319,9322,932,9032.02,"Rioja, La",Sí,Municipio de 100.000 habitantes o más,Tres personas,Otros Hogares,Otros tipos de hogares,De 5000 a menos de 7000 €
2023,13837,9322,932,9036.82,Castilla - La Mancha,Sí,Municipio de 100.000 habitantes o más,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 3000 a menos de 5000 €
2023,15940,9322,932,9041.81,"Madrid, Comunidad de",No,Municipio de 100.000 habitantes o más,Tres personas,Otros Hogares,Otros tipos de hogares,Menos de 500 €
2023,15028,9450,945,9049.54,"Madrid, Comunidad de",No,Municipio con 10.000 o más y menos de 20.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 1000 a menos de 1500 €
2023,16952,9322,932,9062.84,"Balears, Illes",No,Municipio con 20.000 o más y menos de 50.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 7000 a menos de 9000 €
2023,14672,9450,945,9066.05,Andalucía,No,Municipio de 100.000 habitantes o más,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 1500 a menos de 2000 €
2023,2474,9322,932,9078.49,"Madrid, Comunidad de",Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 3000 a menos de 5000 €
2023,9855,9322,932,9080.88,Andalucía,No,Municipio con menos de 10.000 habitantes,Tres personas,"Padre o madre solo, con al menos un hijo de 16 o más años",Un adulto con hijos,De 1500 a menos de 2000 €
2023,19761,9450,945,9084.75,Andalucía,No,Municipio con menos de 10.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,7248,9322,932,9092.95,Comunitat Valenciana,No,Municipio con 50.000 o más y menos 100.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 2500 a menos de 3000 €
